Année,Prix,Auteur,Titre,prix_19_23
2023,Prix Médicis,Kevin Lambert,Que notre joie demeure,1
2023,Prix Médicis étranger,Lidia Jorge,Misericórdia,1
2023,Prix Médicis essai,Laure Murat,"Proust, roman familial",1
2023,Prix Renaudot,Ann Scott,Les Insolents,1
2023,Prix Renaudot essai,Jean-Luc Barré,"De Gaulle, une vie. L'homme de personne (1890-1944)",1
2023,Prix Renaudot du livre de poche,Manuel Carcassonne,Le Retournement,1
2023,Prix Renaudot des lycéens,Lilia Hassaine,Panorama,1
2023,Grand prix du roman de l'Académie française,Dominique Barbéris,Une façon d'aimer,1
2023,Prix littéraire de la vocation,Alice Renard,La Colère et l'Envie,1
2023,Prix Interallié,Gaspard Koenig,Humus,1
2023,Prix Jean-Freustié,Maud Simonnot,L’heure des oiseaux,1
2023,Prix Joseph-Kessel,Sibylle Grimbert,Le Dernier des siens,1
2023,Prix du premier roman,Tom Crewe,La vie nouvelle,1
2023,Prix de l'Académie française Maurice-Genevoix,Sibylle Grimbert,Le dernier des siens,1
2023,Prix François-Mauriac,Stéphanie Boulay,À l’abri des hommes et des choses,1
2023,Prix Françoise-Sagan,Kinga Wyrzykowska,Patte blanche,1
2023,Prix Alexandre-Vialatte,Laurine Roux,Sur l'épaule des géants,1
2023,Prix des Deux Magots,Guy Boley,À ma sœur et unique,1
2023,Prix de Flore,Maria Pourchet,Western,1
2023,Prix Fragonard de littérature étrangère,Yōko Tawada,En Éclaireur,1
2023,Prix de la Closerie des Lilas,Yasmine Ghata,Le Testament du Prophète,1
2023,Prix Fénéon,Elisa Shua Dusapin,Le vieil incendie,1
2023,Prix France Culture-Télérama,Salma El Moumni,Adieu Tanger,1
2023,Prix littéraire ENS Paris-Saclay,François-Xavier Ménage,Les Têtes baissées,1
2023,Prix Landerneau des lecteurs,Thomas B. Reverdy,Le Grand Secours,1
2023,Prix Boccace,Gilles Verdet,Les passagers,1
2023,Prix Jean-Monnet de littérature européenne du département de la Charente,Amélie Nothomb,Le Livre des sœurs,1
2023,Prix du Quai des Orfèvres,Jean-François Pasques,Fils de personne,1
2023,Prix des libraires,Gilles Marchand,Le Soldat désaccordé,1
2023,Grand prix RTL-Lire,Gaëlle Nohant,Le Bureau d'éclaircissement des destins,1
2023,Prix littéraire du Monde,Neige Sinno,Triste tigre,1
2023,Grand prix des lectrices de Elle,Blandine Rinkel,Vers la violence,1
2023,Grand prix Roman de l'été de Femme Actuelle,Dominique Delplace,Hauteclaire,1
2023,Grand prix de l'Imaginaire,Marguerite Imbert,Les Flibustiers de la mer chimique,1
2023,Ada Palmer,Ada Palmer,Terra Ignota,1
2023,Grand Prix de Poésie de la SGDL,Jean-Michel Espitallier,Tueurs,1
2023,Prix Rosny aîné,Laurent Genefort,Les Temps ultramodernes,1
2023,Fauve d'or : prix du meilleur album,Martin Panchaud,La Couleur des choses,1
2023,Prix littéraire de la Ville de Caen,Rémi David,Mourir avant que d'apparaître,1
2023,Prix Amerigo-Vespucci,Feurat Alani,Je me souviens de Falloujah,1
2023,Prix Amerigo-Vespucci Jeunesse,Ingrid Thobois,Histoire de se laver,1
2023,Prix Heredia,Marie Étienne,Sommeil de l’ange,1
2023,Prix Terre de France - Ouest-France,Clara Arnaud,Et vous passerez comme des vents fous,1
2021,Prix France Culture-Télérama,Mathieu Palain,Ne t'arrête pas de courir ,1
