video_id,title,description,published_at,channel_title
PRq-tE3sPKs,"TAFTI, la Prêtresse - NOUVEAU livre de Vadim Zeland - la préface","TAFTI, la Prêtresse - NOUVEAU livre de Vadim Zeland - la préface Dans ce podcast écoutez la préface de Claire van Gheluwe en ...",2023-10-31T14:55:54Z,Centre Transurfing Francophone
9IbD2fkHflw,Read with me - Nouveau livre de sorcièèèères :p,Chaîne Twitch : https://www.twitch.tv/tiboudouboudou Ma chaîne principale : https://www.youtube.com/user/Tiboudouboudou ...,2023-09-02T10:30:02Z,TibouTwo
uGkrWqnE1AQ,Nouveau livre des editions usborne,Nouveau livre des @livres_usborne Je les découvre en famille et vous en parle bientôt. #livre #usborne #activité #kid #apprendre ...,2021-10-20T10:30:16Z,THE WORLD OF ZAZA
gSR5NhI1x7s,Le nouveau livre pour changer de vie,Il faut changer des aujourd'hui | Tout les liens disponible en bio | #shorts.,2023-01-02T15:41:54Z,milliunai
GcPhOat2d9o,Decouvrez le nouveau livre de coloriage sur le theme de la nourriture,Decouvrez le nouveau livre de coloriage sur le theme de la nourriture. Quoi de plus mignon que la kawaii food ?,2023-05-16T08:11:48Z,Évasion Créative
TL-GlwgzhY4,"&quot;Les hommes sont absents&quot;, le nouveau livre de Nathalie Man aux éditions Lanskine.",Extraits du livre lus par l'autrice. Scènes filmées à Bordeaux à la GoPro. Un grand merci à l'équipe de tournage de la librairie ...,2023-03-14T16:47:30Z,Nathalie Man
tI8sDS7WhTU,Faites mieux ! - Précommandez mon nouveau livre,Jean-Luc Mélenchon dévoile son nouveau livre « Faites mieux ! » qui paraîtra le 28 septembre 2023 et à retrouver dès ...,2023-09-19T15:59:52Z,JEAN-LUC MÉLENCHON
FXxLtc4_KvU,Nouveau livre de droit anglais dispo chez LGDJ,Memento Gualino de Droit anglais 2023 Merci Nathanaël pour la vidéo !!,2023-10-27T10:00:11Z,Dictionnaire juridique en vidéo
iBd8oHVcTR8,2023 Un NOUVEAU livre s&#39;ouvre...BONNE ANNÉE #NouvelAn #BonneAnnée2023 #RapContenders #Lunik #Wojtek,"Découvrez la dernière édition du Warm Up pour seulement 0,99€ : https://www.rapcontenders.tv/warm-up-3#WOD-WU3 ...",2023-01-01T17:00:19Z,Rap Contenders Officiel
OAZc2sV5iuo,Découvrez notre nouveau livre blanc !,Dans quels cas avoir recours au RPO ? Comment ça fonctionne ? Combien ça coûte ? Découvrez les réponses à toutes ces ...,2023-06-21T14:40:15Z,Pragmatan
M-EOyHhZu2A,LION SEPTEMBRE 2023 I Vous ouvrez un nouveau livre après cette libération,TITRE : LION SEPTEMBRE 2023 I Vous ouvrez un nouveau livre après cette libération Hello Hello J'espère que vous allez ...,2023-08-19T19:02:05Z,Les intuitions de Jessica 
