,Mois,Titre,parutions,top_fnac_1,top_fnac_2_plus,top_babelio,classement_babelio,Catégorie,top_livraddict,Année,Prix,prix_19_23,type_de_document,Nb_réservations_bibli,Classement_bibliothèque,Top_bibliothèque,in_youtube,nb_youtube,Auteur
1724,Janvier 2023,soleil amer,1.0,0.0,0.0,0.0,,,0.0,2022.0,Prix littéraire de la Ville de Caen,1.0,,,,0.0,0.0,0.0,Lilia Hassaine
1725,Septembre 2022,soleil levant,1.0,,,,,,,,,,,,,,,,Alexandre Galien
1726,Janvier 2022,solitudes,1.0,,,,,,,,,,,,,,,,Niko Tackian
1731,Septembre 2023,son empire,1.0,,,,,,,,,,,,,,,,Claire Castillon
1732,Découverte Rentrée 2022,son fils,1.0,,,,,,,,,,,,,,,,Justine Lévy
1734,Avril 2021,sororité,1.0,,,,,,,,,,,,,,,,Chloé Delaume
1735,Mai 2023,sorrowland,1.0,,,,,,,,,,,,,,,,Rivers Solomon
1736,Avril 2022,sortez-moi de là,1.0,,,,,,,,,,,,,,,,Sonia Dagotor
1737,Août-Octobre 2023,sous les strates,1.0,,,,,,,,,,,,,,,,Lou Eve
1738,Septembre 2022,sous protection,1.0,,,,,,,,,,,,,,,,Viveca Sten
1740,Avril 2022,sous un grand ciel bleu,1.0,,,,,,,,,,,,,,,,Anna McPartlin
1741,Rentrée 2021,souvenirs de ma vie d'hôtel,1.0,,,,,,,,,,,,,,,,Jacques Fieschi
1742,Août-Octobre 2023,souviens-toi de ne pas mourir sans avoir aimé,1.0,,,,,,,,,,,,,,,,Marc-Alexandre Oho Bambe
1743,Avril 2023,stella,1.0,,,,,,,,,,,,,,,,Takis Würger
1744,Novembre 2023,stephen hawking : par-delà la légende,1.0,,,,,,,,,,,,,,,,Charles Seife
1746,Rentrée 2023,stupeur,1.0,,,,,,,,,,,,,,,,Zeruya Shalev
1747,Rentrée 2023,suite inoubliable,1.0,,,,,,,,,,,,,,,,Akira Mizubayashi
1748,Mai 2023,summit,1.0,,,,,,,,,,,,,,,,Mo Malø
1749,Octobre 2022,superstitions,1.0,,,,,,,,,,,,,,,,Ellison Cooper
1750,Avril 2022,sur l'autre rive,1.0,,,,,,,,,,,,,,,,Emmanuel Grand
1754,Mai 2023,suzuran,1.0,,,,,,,,,,,,,,,,Aki Shimazaki
1756,Février 2023,symphonie atomique,1.0,,,,,,,,,,,,,,,,Etienne Cunge
1757,Août 2021,symposium inc.,1.0,,,,,,,,,,,,,,,,Olivier Caruso
1758,Octobre 2022,"tabarnak, je passe noël au canada !",1.0,,,,,,,,,,,,,,,,Natacha Pilorge
1759,Mai 2023,tala yuna,1.0,,,,,,,,,,,,,,,,Charles Aubert
1760,Janvier 2022,tant qu'il reste des îles,1.0,,,,,,,,,,,,,,,,Martin Dumont
1761,Mars 2021,tant qu'il y aura des cèdres,1.0,,,,,,,,,,,,,,,,Pierre Jarawan
1763,Septembre 2022,tant que le café est encore chaud,1.0,0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,130.0,23.0,1.0,0.0,0.0,Toshikazu Kawaguchi
1764,Novembre 2023,temps sauvages,1.0,,,,,,,,,,,,,,,,Mario Vargas Llosa
1765,Rentrée 2022,tenir sa langue,1.0,0.0,0.0,0.0,,,0.0,2022.0,Prix Femina des lycéens,1.0,,,,0.0,1.0,1.0,Polina Panassenko
1766,Octobre 2021,tepuy,1.0,,,,,,,,,,,,,,,,François Baranger
1767,Septembre 2021,terminal 4,1.0,,,,,,,,,,,,,,,,Hervé Jourdain
1768,Mars 2021,terminus,1.0,,,,,,,,,,,,,,,,Tom Sweterlitsch
1769,Octobre 2021,terminus auschwitz : journal dun survivant,1.0,,,,,,,,,,,,,,,,Eddy de Wind
1770,Avril 2023,terra alta,1.0,,,,,,,,,,,,,,,,Javier Cercas
1772,Mars 2023,terra nullius,1.0,,,,,,,,,,,,,,,,Victor Guilbert
1773,Août-Octobre 2023,terre étrangère,1.0,,,,,,,,,,,,,,,,Renaud Meyer
1774,Mai 2023,"the bone season, tome 3 : le chant se lève",1.0,,,,,,,,,,,,,,,,Samantha Shannon
